9:37:40,CPM:113.00,nSvh:753.00,uSvh:0.75,Pressure:371.13
9:37:44,CPM:126.00,nSvh:838.00,uSvh:0.84,Pressure:369.93
9:37:48,CPM:145.00,nSvh:961.00,uSvh:0.96,Pressure:368.88
9:37:52,CPM:139.00,nSvh:924.00,uSvh:0.92,Pressure:367.95
9:37:56,CPM:142.00,nSvh:944.00,uSvh:0.94,Pressure:366.88
9:38:0,CPM:145.00,nSvh:960.00,uSvh:0.96,Pressure:365.78
9:38:4,CPM:147.00,nSvh:973.00,uSvh:0.97,Pressure:364.77
9:38:8,CPM:143.00,nSvh:948.00,uSvh:0.95,Pressure:363.79
9:38:12,CPM:157.00,nSvh:1039.00,uSvh:1.04,Pressure:362.81
9:38:16,CPM:160.00,nSvh:1059.00,uSvh:1.06,Pressure:361.59
9:38:20,CPM:157.00,nSvh:1039.00,uSvh:1.04,Pressure:360.50
9:38:24,CPM:146.00,nSvh:967.00,uSvh:0.97,Pressure:359.59
9:38:28,CPM:167.00,nSvh:1111.00,uSvh:1.11,Pressure:358.45
9:38:32,CPM:182.00,nSvh:1206.00,uSvh:1.21,Pressure:357.28
9:38:36,CPM:177.00,nSvh:1175.00,uSvh:1.18,Pressure:356.14
9:38:41,CPM:179.00,nSvh:1190.00,uSvh:1.19,Pressure:355.14
9:38:45,CPM:181.00,nSvh:1201.00,uSvh:1.20,Pressure:354.10
9:38:49,CPM:185.00,nSvh:1229.00,uSvh:1.23,Pressure:352.94
9:38:53,CPM:179.00,nSvh:1189.00,uSvh:1.19,Pressure:351.92
9:38:57,CPM:182.00,nSvh:1205.00,uSvh:1.21,Pressure:350.79
9:39:1,CPM:163.00,nSvh:1079.00,uSvh:1.08,Pressure:349.58
9:39:5,CPM:151.00,nSvh:1000.00,uSvh:1.00,Pressure:348.47
9:39:9,CPM:157.00,nSvh:1041.00,uSvh:1.04,Pressure:347.38
9:39:13,CPM:173.00,nSvh:1150.00,uSvh:1.15,Pressure:346.19
9:39:17,CPM:169.00,nSvh:1124.00,uSvh:1.12,Pressure:345.08
